#name1,name2,distance,forced_redirection
Futaba,Okuma,5.2,0
Futaba,Namie,8.1,0
Futaba,Tomioka,12.3,0
Futaba,Naraha,18.5,0
Futaba,Minamisoma,28.0,0
Futaba,Kawauchi,22.0,0
Futaba,Iitate,35.0,0
Futaba,Koriyama,55.0,0
Futaba,Iwaki,45.0,0
Futaba,Fukushima_City,65.0,0
Futaba,Sendai,95.0,0
Okuma,Namie,10.0,0
Okuma,Tomioka,11.0,0
Okuma,Naraha,16.0,0
Okuma,Minamisoma,25.0,0
Okuma,Kawauchi,25.0,0
Okuma,Iitate,38.0,0
Okuma,Koriyama,52.0,0
Okuma,Iwaki,42.0,0
Okuma,Fukushima_City,62.0,0
Okuma,Sendai,92.0,0
Namie,Tomioka,18.0,0
Namie,Naraha,24.0,0
Namie,Minamisoma,22.0,0
Namie,Kawauchi,32.0,0
Namie,Iitate,28.0,0
Namie,Koriyama,48.0,0
Namie,Iwaki,52.0,0
Namie,Fukushima_City,58.0,0
Namie,Sendai,88.0,0
Tomioka,Naraha,8.0,0
Tomioka,Minamisoma,35.0,0
Tomioka,Kawauchi,22.0,0
Tomioka,Iitate,42.0,0
Tomioka,Koriyama,48.0,0
Tomioka,Iwaki,38.0,0
Tomioka,Fukushima_City,58.0,0
Tomioka,Sendai,88.0,0
Naraha,Minamisoma,42.0,0
Naraha,Kawauchi,28.0,0
Naraha,Iitate,48.0,0
Naraha,Koriyama,55.0,0
Naraha,Iwaki,32.0,0
Naraha,Fukushima_City,65.0,0
Naraha,Sendai,95.0,0
Minamisoma,Kawauchi,45.0,0
Minamisoma,Iitate,35.0,0
Minamisoma,Koriyama,42.0,0
Minamisoma,Iwaki,62.0,0
Minamisoma,Fukushima_City,55.0,0
Minamisoma,Sendai,65.0,0
Kawauchi,Iitate,38.0,0
Kawauchi,Koriyama,55.0,0
Kawauchi,Iwaki,48.0,0
Kawauchi,Fukushima_City,65.0,0
Kawauchi,Sendai,105.0,0
Iitate,Koriyama,55.0,0
Iitate,Iwaki,72.0,0
Iitate,Fukushima_City,65.0,0
Iitate,Sendai,95.0,0
Koriyama,Iwaki,55.0,0
Koriyama,Fukushima_City,65.0,0
Koriyama,Sendai,95.0,0
Iwaki,Fukushima_City,85.0,0
Iwaki,Sendai,125.0,0
Fukushima_City,Sendai,95.0,0
