#name,region,country,lat,lon,location_type,conflict_date,population
Kidal,,Mali,18.444305,1.401523,conflict_zone,0,25617
Timbuktu,,Mali,16.78026,-3.00159,conflict_zone,0,54453
Mopti,,Mali,,,town,,148456
Douentza,,Mali,,,conflict_zone,185,28005
Konna,,Mali,,,town,,36767
Niafounke,,Mali,,,conflict_zone,0,1000
Bourem,,Mali,,,conflict_zone,30,27486
Bamako,,Mali,,,conflict_zone,163,1809106
Tenenkou,,Mali,14.5004532,-4.8748448,conflict_zone,2,11310
Segou,,Mali,,,town,,130690
Lere,,Mali,,,conflict_zone,273,16072
Dire,,Mali,,,conflict_zone,13,22365
Goundam,,Mali,,,town,,16253
Fassala-Mbera,,Mauritania,15.639012,-5.751422,camp,,75882
Mentao,,Burkina_Faso,,,camp,,6905
Bobo-Dioulasso,,Burkina_Faso,,,camp,,1926
Gao,,Mali,16.27091,-0.04021,conflict_zone,23,86633
