#"name","region","country","gps_x","gps_y","location_type","conflict_date","pop/cap"
"okuma","Fukushima","Japan","141.035","37.385","town","0","10800"
"futaba","Fukushima","Japan","141.000","37.438","town","0","6932"
"namie","Fukushima","Japan","140.982","37.484","town","0","21096"
"tomioka","Fukushima","Japan","141.021","37.343","town","0","16032"
"naraha","Fukushima","Japan","141.033","37.281","town","0","7672"
"hirono","Fukushima","Japan","140.991","37.202","town","0","5271"
"kawauchi","Fukushima","Japan","140.853","37.337","town","0","2778"
"iitate","Fukushima","Japan","140.764","37.585","town","0","6209"
"minamisoma_south","Fukushima","Japan","140.967","37.570","town","0","15000"
"minamisoma_north","Fukushima","Japan","140.967","37.640","town","0","55000"
"tamura","Fukushima","Japan","140.784","37.413","town","0","38000"
"iwaki_north","Fukushima","Japan","140.940","37.090","town","0","30000"
"koriyama","Fukushima","Japan","140.363","37.402","camp","0","338834"
"fukushima_city","Fukushima","Japan","140.467","37.750","camp","0","292590"
"iwaki_city","Fukushima","Japan","140.888","37.058","camp","0","350000"
