Day,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Nguenyyiel sim,Nguenyyiel data,Nguenyyiel error,Okugo sim,Okugo data,Okugo error,Pugnido sim,Pugnido data,Pugnido error,Pugnido_II sim,Pugnido_II data,Pugnido_II error,Tierkidi sim,Tierkidi data,Tierkidi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,7,1.0,0,2,1.0,0,0,0.0,0,38,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0.94,47,0,50,0,0
2,0,14,1.0,0,4,1.0,0,0,0.0,0,77,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0.95,95,1,100,0,0
3,0,14,1.0,0,4,1.0,0,0,0.0,0,77,1.0,0,0,0.0,0,0,0.0,0,1,1.0,0.8205,96,2,117,0,0
4,0,14,1.0,0,4,1.0,0,0,0.0,0,77,1.0,0,0,0.0,0,0,0.0,0,3,1.0,0.7313,98,3,134,0,0
5,0,14,1.0,0,4,1.0,0,0,0.0,0,78,1.0,0,1,1.0,0,0,0.0,0,5,1.0,0.6755,102,4,151,0,0
6,0,14,1.0,0,4,1.0,0,0,0.0,0,78,1.0,0,1,1.0,0,0,0.0,0,6,1.0,0.6131,103,4,168,0,0
7,0,14,1.0,0,4,1.0,0,0,0.0,0,78,1.0,0,1,1.0,0,0,0.0,0,8,1.0,0.5676,105,8,185,0,0
8,0,14,1.0,0,4,1.0,0,0,0.0,0,79,1.0,0,1,1.0,0,0,0.0,0,10,1.0,0.5347,108,7,202,0,0
9,0,14,1.0,0,4,1.0,0,0,0.0,0,79,1.0,0,1,1.0,0,0,0.0,0,11,1.0,0.4955,109,9,220,0,0
10,0,14,1.0,0,5,1.0,0,0,0.0,0,79,1.0,0,1,1.0,0,0,0.0,0,13,1.0,0.4534,112,9,247,0,0
11,0,14,1.0,0,7,1.0,0,0,0.0,0,80,1.0,0,1,1.0,0,0,0.0,0,15,1.0,0.4255,117,8,275,0,0
12,0,15,1.0,0,8,1.0,0,0,0.0,0,80,1.0,0,1,1.0,0,0,0.0,0,16,1.0,0.3974,120,13,302,0,0
13,0,15,1.0,0,10,1.0,0,0,0.0,0,80,1.0,0,1,1.0,0,0,0.0,0,18,1.0,0.3758,124,16,330,0,0
14,0,15,1.0,0,12,1.0,0,0,0.0,0,81,1.0,0,1,1.0,0,0,0.0,0,20,1.0,0.2804,129,14,460,0,0
15,0,16,1.0,0,13,1.0,0,0,0.0,0,81,1.0,0,1,1.0,0,0,0.0,0,21,1.0,0.2538,132,20,520,0,0
16,0,16,1.0,0,15,1.0,0,0,0.0,0,81,1.0,0,1,1.0,0,0,0.0,0,23,1.0,0.2345,136,21,580,0,0
17,0,16,1.0,0,17,1.0,0,0,0.0,0,82,1.0,0,1,1.0,0,0,0.0,0,25,1.0,0.2203,141,28,640,0,0
18,0,17,1.0,0,18,1.0,0,0,0.0,0,82,1.0,0,1,1.0,0,0,0.0,0,26,1.0,0.2057,144,25,700,0,0
19,0,17,1.0,0,20,1.0,0,0,0.0,0,82,1.0,0,1,1.0,0,0,0.0,0,28,1.0,0.1947,148,31,760,0,0
20,0,17,1.0,0,22,1.0,0,0,0.0,0,83,1.0,0,2,1.0,0,0,0.0,0,30,1.0,0.1878,154,25,820,0,0
21,0,18,1.0,0,23,1.0,0,0,0.0,0,83,1.0,0,2,1.0,0,0,0.0,0,31,1.0,0.1784,157,36,880,0,0
22,1,18,0.9444,0,25,1.0,0,0,0.0,0,83,1.0,0,2,1.0,0,0,0.0,0,33,1.0,0.1702,161,38,940,1,0
23,1,19,0.9474,0,27,1.0,0,0,0.0,0,84,1.0,0,2,1.0,0,0,0.0,0,35,1.0,0.166,167,48,1000,1,0
24,1,19,0.9474,0,27,1.0,0,0,0.0,0,84,1.0,0,2,1.0,0,0,0.0,0,35,1.0,0.1424,167,43,1166,1,0
25,1,19,0.9474,0,27,1.0,0,0,0.0,0,84,1.0,1,2,0.5,0,0,0.0,0,35,1.0,0.1238,167,53,1333,2,0
26,1,20,0.95,0,28,1.0,0,0,0.0,0,84,1.0,1,2,0.5,0,0,0.0,0,35,1.0,0.1113,169,53,1500,2,0
27,1,20,0.95,0,28,1.0,0,0,0.0,0,84,1.0,1,2,0.5,0,0,0.0,0,35,1.0,0.0954,169,62,1750,2,0
28,1,21,0.9524,0,29,1.0,0,0,0.0,0,84,1.0,1,2,0.5,0,0,0.0,0,35,1.0,0.0845,171,77,2000,2,0
29,1,21,0.9524,0,29,1.0,0,0,0.0,0,84,1.0,1,2,0.5,0,0,0.0,0,35,1.0,0.0676,171,85,2500,2,0
