cognitive_mode,topology,scenario,execution_time,accuracy,success_rate,memory_usage,cpu_usage
System 1,Linear,Spike,6.875560211615451,0.7381600112875548,0.909287306236717,2.406853690139553,0.5957973499407245
System 1,Linear,Gradual,9.07710334101867,0.6721394080256319,0.9543939098800099,1.8338587498300918,0.6497101822316385
System 1,Linear,Oscillating,11.295266418617926,0.6937905201902247,0.9551346297001598,2.7587603472013376,0.5830348825351581
System 1,Hub-Spoke,Spike,8.41816163948847,0.7164040932614787,0.9546478974141754,1.6878447575613826,0.6604909630480594
System 1,Hub-Spoke,Gradual,11.119158846585481,0.741246059606787,0.9655649549973875,2.90218413725357,0.764650966259484
System 1,Hub-Spoke,Oscillating,13.10752976028676,0.7667713341286047,0.9445014797475693,2.613335128862555,0.8788733735031082
System 1,Grid,Spike,8.277716579851617,0.7278511072128512,0.9657080981396734,1.650313688869951,0.8985431894860936
System 1,Grid,Gradual,9.420711246541826,0.6869741244710277,0.9464387193276808,2.256650836858057,0.40642912807392445
System 1,Grid,Oscillating,12.204267165680276,0.7317027187809362,0.9425691155368061,2.364821798817062,0.6849700622486838
System 2,Linear,Spike,11.535310539166863,0.9132205015767012,0.9077228858817404,2.364289476665383,0.4288216739183649
System 2,Linear,Gradual,12.83450494236375,0.9009930688132752,0.9344331656605424,2.3107380203479626,0.713432838152392
System 2,Linear,Oscillating,17.209449393612573,0.882944651420861,0.9488392623195332,2.057012470866733,0.4804123236660151
System 2,Hub-Spoke,Spike,13.262506832240323,0.884104494738332,0.9521281337028549,2.442691531880129,0.5609738094397658
System 2,Hub-Spoke,Gradual,16.29171266579606,0.9054321437371611,0.9410567213290324,2.727061292136953,0.43153546967136
System 2,Hub-Spoke,Oscillating,19.297249208468333,0.8793542319379981,0.945114118672457,1.9343758566150155,0.810921701573436
System 2,Grid,Spike,12.44173608038194,0.9276984118735977,0.9100575445347188,2.291461305471213,0.4475523730895838
System 2,Grid,Gradual,14.768865163073755,0.9106657423950744,0.9213186007796739,2.8013344363313966,0.8856179250837768
System 2,Grid,Oscillating,17.888251923519235,0.9220787314316103,0.9161949417352375,3.199120766348213,0.5283954201779619
Dual Process,Linear,Spike,9.065353384607583,0.8792708256955366,0.9663781145702823,1.520129002463783,0.8949460877948427
Dual Process,Linear,Gradual,11.530424761321877,0.8691891689000462,0.9069624349343071,2.3689173463495328,0.7932579001627114
Dual Process,Linear,Oscillating,13.255173183827836,0.8110784828410315,1.0,2.632402086727848,0.8341021366616732
Dual Process,Hub-Spoke,Spike,10.651210594456987,0.8167851181631928,0.9465876288429433,2.6218384855936785,0.5012079338396839
Dual Process,Hub-Spoke,Gradual,13.35788302711756,0.8876504807813805,0.965669184502029,2.0147775921488846,0.47516964456982
Dual Process,Hub-Spoke,Oscillating,15.942686075867892,0.8345899261537163,0.9503212326438915,2.6955627920358793,0.4564981449998081
Dual Process,Grid,Spike,10.128268798367067,0.8689040581526102,0.9235872525558584,1.6391995055781372,0.41920725286176463
Dual Process,Grid,Gradual,12.080661173716688,0.8434655738700064,0.9264235859614917,1.8930898284484254,0.6372343072736453
Dual Process,Grid,Oscillating,13.542533384199563,0.8261244929460901,0.9186437667325115,3.0894719649051097,0.7856945440787629
